local_datetime,pm2p5(ug/m3)
2020/7/24 18:00,11.67
2020/7/24 19:00,9.25
2020/7/24 20:00,6.29
2020/7/24 21:00,5.5
2020/7/24 22:00,9.5
2020/7/24 23:00,9.75
2020/7/25 0:00,14.75
2020/7/25 1:00,16
2020/7/25 2:00,28
2020/7/25 3:00,40
2020/7/25 4:00,52
2020/7/25 5:00,50
2020/7/25 6:00,18.25
2020/7/25 7:00,17.25
2020/7/25 8:00,23
2020/7/25 9:00,20.25
2020/7/25 10:00,10
2020/7/25 11:00,11.75
2020/7/25 12:00,6.75
2020/7/25 13:00,6
2020/7/25 14:00,6.25
2020/7/25 15:00,3.25
2020/7/25 16:00,2.25
2020/7/25 17:00,2.25
2020/7/25 18:00,2.75
2020/7/25 19:00,3
2020/7/25 20:00,3
2020/7/25 21:00,6.5
2020/7/25 22:00,8
2020/7/25 23:00,8.25
2020/7/26 0:00,9.25
2020/7/26 1:00,6
2020/7/26 2:00,6.67
2020/7/26 3:00,7.33
2020/7/26 4:00,8
2020/7/26 5:00,10.5
2020/7/26 6:00,9
2020/7/26 7:00,9.5
2020/7/26 8:00,9.5
2020/7/26 9:00,6
2020/7/26 10:00,4.25
2020/7/26 11:00,4.25
2020/7/26 12:00,3.25
2020/7/26 13:00,3.25
2020/7/26 14:00,5
2020/7/26 15:00,5.25
2020/7/26 16:00,2.5
2020/7/26 17:00,4.75
2020/7/26 18:00,5.5
2020/7/26 19:00,5.25
2020/7/26 20:00,6
2020/7/26 21:00,7.75
2020/7/26 22:00,5
2020/7/26 23:00,6.75
2020/7/27 0:00,6
2020/7/27 1:00,6
2020/7/27 2:00,6.67
2020/7/27 3:00,7.33
2020/7/27 4:00,8
2020/7/27 5:00,8.5
2020/7/27 6:00,7.5
2020/7/27 7:00,14
2020/7/27 8:00,12.25
2020/7/27 9:00,9.5
2020/7/27 10:00,5.25
2020/7/27 11:00,6.25
2020/7/27 12:00,7.5
2020/7/27 13:00,8
2020/7/27 14:00,7.5
2020/7/27 15:00,7.5
2020/7/27 16:00,4.5
2020/7/27 17:00,7
2020/7/27 18:00,7.25
2020/7/27 19:00,6.25
2020/7/27 20:00,9.5
2020/7/27 21:00,9
2020/7/27 22:00,6.75
2020/7/27 23:00,8.5
2020/7/28 0:00,10.5
2020/7/28 1:00,10
2020/7/28 2:00,14.33
2020/7/28 3:00,18.67
2020/7/28 4:00,23
2020/7/28 5:00,19.25
2020/7/28 6:00,18
2020/7/28 7:00,21.5
2020/7/28 8:00,17.75
2020/7/28 9:00,19.25
2020/7/28 10:00,17
2020/7/28 11:00,15
2020/7/28 12:00,21.25
2020/7/28 13:00,16.5
2020/7/28 14:00,13
2020/7/28 15:00,10.75
2020/7/28 16:00,11.75
2020/7/28 17:00,13.75
2020/7/28 18:00,13
2020/7/28 19:00,21.25
2020/7/28 20:00,10.5
2020/7/28 21:00,10.25
2020/7/28 22:00,16
2020/7/28 23:00,19.25
2020/7/29 0:00,16.25
2020/7/29 1:00,20
2020/7/29 2:00,23.33
2020/7/29 3:00,26.67
2020/7/29 4:00,30
2020/7/29 5:00,34.75
2020/7/29 6:00,31.67
2020/7/29 7:00,20
2020/7/29 8:00,24.25
2020/7/29 9:00,26
2020/7/29 10:00,29.75
2020/7/29 11:00,28.25
2020/7/29 12:00,23.75
2020/7/29 13:00,18.75
2020/7/29 14:00,16.25
2020/7/29 15:00,14.25
2020/7/29 16:00,14
2020/7/29 17:00,12.75
2020/7/29 18:00,11
2020/7/29 19:00,15
2020/7/29 20:00,13.75
2020/7/29 21:00,14.5
2020/7/29 22:00,13.75
2020/7/29 23:00,14.75
2020/7/30 0:00,8.5
2020/7/30 1:00,9
2020/7/30 2:00,8.67
2020/7/30 3:00,8.33
2020/7/30 4:00,8
2020/7/30 5:00,10
2020/7/30 6:00,18.75
2020/7/30 7:00,42.75
2020/7/30 8:00,23.25
2020/7/30 9:00,16.25
2020/7/30 10:00,13.5
2020/7/30 11:00,13.5
2020/7/30 12:00,16.5
2020/7/30 13:00,20.75
2020/7/30 14:00,25.75
2020/7/30 15:00,23.75
2020/7/30 16:00,19.25
2020/7/30 17:00,19.5
2020/7/30 18:00,13.25
2020/7/30 19:00,16.5
2020/7/30 20:00,15.25
2020/7/30 21:00,16.44
2020/7/30 22:00,14.5
2020/7/30 23:00,10.25
2020/7/31 0:00,7.5
2020/7/31 1:00,5
2020/7/31 2:00,14
2020/7/31 3:00,7.33
2020/7/31 4:00,7.25
2020/7/31 5:00,7.25
2020/7/31 6:00,5.5
2020/7/31 7:00,7.75
2020/7/31 8:00,8.5
2020/7/31 9:00,9.75
2020/7/31 10:00,12
2020/7/31 11:00,13
2020/7/31 12:00,13.5
2020/7/31 13:00,12.25
2020/7/31 14:00,11.25
2020/7/31 15:00,16
2020/7/31 16:00,15.25
2020/7/31 17:00,12.25
2020/7/31 18:00,13.25
2020/7/31 19:00,14
